District,Sex,Year,Population,Population_Growth_Rate,Average_Population
1,0,0.0,0.3372772323766804,0.0,0.33836672889163455
1,0,0.06666666666666667,0.3342958058581002,-0.008839691008998951,0.33836672889163455
1,0,0.13333333333333333,0.332684223956165,-0.004820825968182452,0.33836672889163455
1,0,0.2,0.3328319522971757,0.000444049733570262,0.33836672889163455
1,0,0.26666666666666666,0.3322007493855844,-0.001896461283944606,0.33836672889163455
1,0,0.3333333333333333,0.327930057345456,-0.012855756791720685,0.33836672889163455
1,0,0.4,0.32661393212554224,-0.004013432713571907,0.33836672889163455
1,0,0.4666666666666667,0.327016827601026,0.0012335526315787604,0.33836672889163455
1,0,0.5333333333333333,0.3263856246894347,-0.0019301848049281256,0.33836672889163455
1,0,0.6,0.33040114959509004,0.01230300785911198,0.33836672889163455
1,0,0.6666666666666666,0.333919770080982,0.010649540687748926,0.33836672889163455
1,0,0.7333333333333333,0.3361759847436913,0.006756756756756577,0.33836672889163455
1,0,0.8,0.3448113777682277,0.02568712048577826,0.33836672889163455
1,0,0.8666666666666667,0.35786519117390314,0.03785783836416745,0.33836672889163455
1,0,0.9333333333333333,0.37900377378762035,0.05906856306526054,0.33836672889163455
1,0,1.0,0.3783994305743946,-0.0015945572446051104,0.33836672889163455
1,1,0.0,0.34063469467237883,-0.09980124929017598,0.33836672889163455
1,1,0.06666666666666667,0.33621627429123974,-0.012971140198706821,0.33836672889163455
1,1,0.13333333333333333,0.33459126254012167,-0.004833233473137688,0.33836672889163455
1,1,0.2,0.3335705940022294,-0.00305049369832211,0.33836672889163455
1,1,0.26666666666666666,0.3332079880742939,-0.001087044045414376,0.33836672889163455
1,1,0.3333333333333333,0.3309786331099502,-0.006690580790778222,0.33836672889163455
1,1,0.4,0.33013255261143415,-0.0025562994522216886,0.33836672889163455
1,1,0.4666666666666667,0.3299042451753267,-0.0006915629322267192,0.33836672889163455
1,1,0.5333333333333333,0.3303340003491761,0.0013026663952779849,0.33836672889163455
1,1,0.6,0.3311666509985093,0.0025206325974711508,0.33836672889163455
1,1,0.6666666666666666,0.33355716415304654,0.007218459791556775,0.33836672889163455
